Cal_Year,Sale_ID,Date,Cal_Date,Store_ID,Product_ID,Units
2023,735217,7/24/2023,7/24/2023,,,
2023,735590,7/24/2023,7/24/2023,,,
2023,747295,8/1/2023,8/1/2023,,,
2023,754535,8/6/2023,8/6/2023,,,
2023,756680,8/8/2023,8/8/2023,,,
2023,766440,8/15/2023,8/15/2023,,,
2023,778342,8/25/2023,8/25/2023,,,
2023,780037,8/25/2023,8/25/2023,,,
2023,786044,2023-08-31@@,8/31/2023,,,
2023,789393,9/1/2023,9/1/2023,,,
2023,,9/7/2023,9/7/2023,,,
2023,,9/15/2023,9/15/2023,,,
2023,812092,9/19/2023,9/19/2023,,,
2023,815975,9/22/2023,9/22/2023,,,
2023,,7/15/2023,7/15/2023,-9999,,
2023,752069,8/4/2023,8/4/2023,-9999,,
2023,819324,9/24/2023,9/24/2023,-9999,,
2023,-9999,9/30/2023,9/30/2023,-9999,,
2023,439328,1/14/2023,1/14/2023,1,,
2023,,7/23/2023,7/23/2023,1,,
2023,775221,8/21/2023,8/21/2023,1,,
2023,776685,8/23/2023,8/23/2023,1,,
2023,753073,8/5/2023,8/5/2023,2,,
2023,765454,8/14/2023,8/14/2023,2,,
2023,767625,8/16/2023,8/16/2023,2,,
2023,771490,8/18/2023,8/18/2023,2,,
2023,783317,8/28/2023,8/28/2023,2,,
2023,630613,5/19/2023,5/19/2023,3,,
2023,811194,9/18/2023,9/18/2023,3,,
2023,723445,7/16/2023,7/16/2023,4,,
2023,739990,7/28/2023,7/28/2023,4,,
2023,823440,9/28/2023,9/28/2023,4,,
2023,668708,6/12/2023,6/12/2023,5,,
2023,772464,8/19/2023,8/19/2023,5,,
2023,793616,9/5/2023,9/5/2023,5,,
2023,724360,7/17/2023,7/17/2023,6,,
2023,800290,9/10/2023,9/10/2023,6,,
2023,801011,9/10/2023,9/10/2023,6,,
2023,722743,7/15/2023,7/15/2023,7,,
2023,732748,7/22/2023,7/22/2023,7,,
2023,743941,7/29/2023,7/29/2023,7,,
2023,752205,8/4/2023,8/4/2023,7,,
2023,753762,8/5/2023,8/5/2023,7,,
2023,,8/17/2023,8/17/2023,7,,
2023,776817,8/23/2023,8/23/2023,7,,
2023,793405,9/5/2023,9/5/2023,7,,
2023,796651,9/8/2023,9/8/2023,7,,
2023,798038,9/8/2023,9/8/2023,7,,
2023,806670,9/15/2023,9/15/2023,7,,
2023,818775,9/23/2023,9/23/2023,7,,
2023,829005,9/30/2023,9/30/2023,7,,
2023,-9999,2/27/2023,2/27/2023,8,,
2023,744774,7/30/2023,7/30/2023,8,,
2023,,9/1/2023,9/1/2023,8,,
2023,808366,2023-09-16###,9/16/2023,8,,
2023,822250,9/27/2023,9/27/2023,8,,
2023,729752,7/21/2023,7/21/2023,9,,
2023,739625,7/27/2023,7/27/2023,9,,
2023,778216,8/24/2023,8/24/2023,9,,
2023,801923,9/12/2023,9/12/2023,9,,
2023,726477,7/19/2023,7/19/2023,10,,
2023,734749,7/24/2023,7/24/2023,10,,
2023,750639,8/3/2023,8/3/2023,10,,
2023,750704,8/3/2023,8/3/2023,10,,
2023,761561,8/11/2023,8/11/2023,10,,
2023,769604,8/17/2023,8/17/2023,10,,
2023,747917,8/1/2023,8/1/2023,11,,
2023,787863,9/1/2023,9/1/2023,11,,
2023,803299,9/13/2023,9/13/2023,11,,
2023,753542,8/5/2023,8/5/2023,12,,
2023,,9/12/2023,9/12/2023,12,,
2023,636244,5/22/2023,5/22/2023,13,,
2023,730662,7/21/2023,7/21/2023,13,,
2023,744967,7/30/2023,7/30/2023,13,,
2023,752206,8/4/2023,8/4/2023,13,,
2023,755452,8/7/2023,8/7/2023,13,,
2023,795672,9/7/2023,9/7/2023,13,,
2023,795672,9/7/2023,9/7/2023,13,,
2023,-9999,9/20/2023,9/20/2023,13,,
2023,824005,9/28/2023,9/28/2023,13,,
2023,749182,8/2/2023,8/2/2023,14,,
2023,767337,8/16/2023,8/16/2023,14,,
